     0,     -0
     0,     -0
     0,     -0
    -0,      0
    -0,      0
    -0,      0
     0,     -0
     0,     -0
     0,     -0
    -0,      0
    -1,      1
    -3,      1
    -4,      2
    -5,      2
    -4,      2
     0,     -0
     7,     -3
    13,     -5
    18,     -7
    18,     -7
    12,     -4
    -0,      0
   -17,      5
   -32,      9
   -41,     11
   -39,     10
   -25,      7
     0,     -0
    32,     -9
    61,    -16
    76,    -20
    71,    -18
    45,    -10
    -1,     -0
   -55,     10
  -102,     18
  -126,     21
  -116,     18
   -71,     10
     1,      0
    83,    -10
   153,    -16
   187,    -18
   170,    -14
   103,     -8
    -1,     -0
  -116,      5
  -212,      8
  -255,      7
  -230,      3
  -138,      0
     1,      0
   153,      4
   277,     11
   332,     17
   298,     20
   179,     15
    -1,     -1
  -197,    -24
  -357,    -47
  -429,    -62
  -386,    -60
  -232,    -39
     1,      1
   258,     50
   469,     94
   572,    116
   525,    106
   323,     64
    -1,     -1
  -375,    -75
  -703,   -131
  -887,   -148
  -848,   -120
  -545,    -61
    -2,      3
   688,     43
  1367,     30
  1842,    -44
  1891,   -140
  1317,   -166
     5,     -3
 -2033,    481
 -4635,   1410
 -7418,   2851
 -9849,   4765
-11558,   6997
-12504,   9291
-12199,  11317
 -8703,  12714
   358,  13172
 13924,  12519
 24749,  10777
 23260,   8156
  7027,   5049
-13764,   1981
-23034,   -497
-13069,  -1947
  8093,  -2125
 24147,  -1040
 24935,   1016
 13232,   3495
  -844,   5705
 -9480,   6959
-11162,   6704
 -8052,   4641
 -2283,    809
  5021,  -4379
 12866, -10203
 19830, -15772
 24424, -20163
 25609, -22567
 23093, -22461
 17357, -19704
  9608, -14556
  1486,  -7624
 -5478,    230
-10255,   8014
-11778,  14796
 -8063,  19848
  2726,  22721
 18619,  23312
 31525,  21850
 31360,  18828
 14899,  14876
 -9663,  10642
-28449,   6688
-32402,   3382
-22001,    856
 -3731,   -966
 14739,  -2324
 25807,  -3528
 23122,  -4856
  6283,  -6455
-15666,  -8277
-28971, -10079
-25724, -11464
 -9617, -11950
  8757, -11094
 20961,  -8629
 24922,  -4555
 22625,    822
 16485,   6902
  8263,  12849
  -281,  17734
 -7138,  20725
-10566,  21243
 -9658,  19070
 -4668,  14434
  3034,   8009
 11354,    812
 18081,  -5996
 21380, -11280
 20167, -14118
 14474, -13996
  5570, -10895
 -4398,  -5286
-13013,   1968
-18084,   9758
-18104,  16914
-12741,  22432
 -3040,  25660
  8866,  26367
 20317,  24774
 28641,  21504
 31689,  17445
 28441,  13560
 19347,  10713
  6219,   9503
 -8287,  10162
-21391,  12514
-30814,  16009
-34604,  19830
-30505,  23066
-16892,  24859
  3671,  24565
